Weapon,Crafting Station,Crafting Station Level,Description,,,,
Stone axe,Crafting Menu,,,,,,
Flint axe,Workbench,1,,,,,
Bronze axe,Forge,1,,,,,
Iron axe,Forge,2,,,,,
Battleaxe,Forge,2,,,,,
Crystal battleaxe,Forge,3,,,,,
Blackmetal axe,Forge,4,,,,,
Jotun Bane,Black Forge,1,,,,,
Berserkir axes,Black Forge,3,,,,,
Bleeding Berserkir axes,Black Forge,4,,,,,
Thundering Berserkir axes,Black Forge,4,,,,,
Primal Berserkir axes,Black Forge,4,,,,,
Torch,Crafting Menu,,,,,,
Club,Crafting Menu,,,,,,
Stagbreaker,Workbench,2,,,,,
Bronze mace,Forge,1,,,,,
Iron Mace,Forge,2,,,,,
Iron Sledge,Forge,2,,,,,
Frostner,Forge,3,,,,,
Porcupine,Forge,4,,,,,
Demolisher,Black Forge,1,,,,,
Flametal mace,Black Forge,3,,,,,
Bloodgeon,Black Forge,4,,,,,
Storm Star,Black Forge,4,,,,,
Klossen,Black Forge,4,,,,,
Bronze sword,Forge,1,,,,,
Iron sword,Forge,2,,,,,
Silver sword,Forge,3,,,,,
Blackmetal sword,Forge,4,,,,,
Mistwalker,Black Forge,1,,,,,
Krom,Black Forge,1,,,,,
Nidhögg,Black Forge,3,,,,,
Nidhögg the Bleeding,Black Forge,4,,,,,
Nidhögg the Thundering,Black Forge,4,,,,,
Nidhögg the Primal,Black Forge,4,,,,,
Slayer,Black Forge,3,,,,,
Brutal Slayer Brutal Slayer,Black Forge,4,,,,,
Scourging Slayer Scourging Slayer,Black Forge,4,,,,,
Primal Slayer Primal Slayer,Black Forge,4,,,,,
Dyrnwyn,Black Forge,4,,,,,
Flint spear,Workbench,1,,,,,
Bronze Spear,Forge,1,,,,,
Ancient bark spear,Forge,3,,,,,
Fang spear,Forge,3,,,,,
Carapace spear,Black Forge,1,,,,,
Splitnir,Black Forge,3,,,,,
Splitnir the Bleeding Splitnir the Bleeding,Black Forge,4,,,,,
Splitnir the Storming Splitnir the Storming,Black Forge,4,,,,,
Splitnir the Primal Splitnir the Primal,Black Forge,4,,,,,
Bronze atgeir,Forge,1,,,,,
Iron atgeir,Forge,2,,,,,
Blackmetal atgeir,Forge,4,,,,,
Himminafl,Black Forge,1,,,,,
Flint knife,Workbench,1,,,,,
Copper knife,Forge,1,,,,,
Butcher knife,Forge,1,,,,,
Abyssal Razor,Workbench,2,,,,,
Silver knife,Forge,3,,,,,
Blackmetal knife,Forge,4,,,,,
Skoll and Hati,Black Forge,1,,,,,
Bare fists,,,,,,,
Flesh Rippers,Forge,3,,,,,
Wood shield,Workbench,1,,,,,
Wood tower shield,Workbench,1,,,,,
Bone tower shield,Workbench,3,,,,,
Bronze buckler,Forge,1,,,,,
Banded shield,Forge,2,,,,,
Iron buckler,Forge,2,,,,,
Iron tower shield,Forge,2,,,,,
Silver shield,Forge,3,,,,,
Serpent scale shield,Forge,3,,,,,
Black metal shield,Forge,3,,,,,
Black metal tower shield,Forge,3,,,,,
Carapace buckler,Black Forge,1,,,,,
Carapace shield,Black Forge,1,,,,,
Flametal shield,Black Forge,3,,,,,
Flametal tower shield,Black Forge,3,,,,,
Crude bow,Workbench,1,,,,,
Finewood bow,Workbench,1,,,,,
Huntsman bow,Forge,1,,,,,
Draugr Fang,Forge,2,,,,,
Spinesnap,Black Forge,1,,,,,
Ash Fang,Black Forge,3,,,,,
Arbalest,Black Forge,1,,,,,
Ripper,Black Forge,3,,,,,
Wound Ripper,Black Forge,4,,,,,
Storm Ripper Storm Ripper,Black Forge,4,,,,,
Root Ripper Root Ripper,Black Forge,4,,,,,
Staff of embers,Galdr table,1,,,,,
Staff of frost,Galdr table,1,,,,,
Dundr,Galdr table,2,,,,,
Staff of the Wild,Galdr table,2,,,,,
Staff of Fracturing,Galdr table,2,,,,,
Staff of protection,Galdr table,1,,,,,
Dead raiser,Galdr table,1,,,,,
Trollstav,Galdr table,2,,,,,
